player,team,country,pos,brand,model
Navas,Real Madrid,Costa Rica,1,adidas,predator
ter Stegen,Barcelona,Germany,1,adidas,predator
Oblak,Atlético Madrid,Slovenia,1,nike,tiempo
Rico,Sevilla,Spain,1,adidas,predator
Karius,Liverpool,Germany,1,adidas,x
De Gea,Manchester Utd,Spain,1,adidas,x
Romero,Manchester Utd,Argentina,1,adidas,predator
Courtois,Chelsea,Belgium,1,nike,magista
Ospina,Arsenal,Colombia,1,adidas,predator
Lloris,Tottenham,France,1,nike,tiempo
Ederson,Manchester City,Brazil,1,nike,magista
Bravo,Manchester City,Chile,1,adidas,predator
Pickford,Everton,England,1,nike,mercurial
Schmeichel,Leicester City,Denmark,1,adidas,nemeziz
Buffon,Juventus,Italy,1,puma,one
Szczesny,Juventus,Poland,1,nike,magista
Allison,Roma,Brazil,1,nike,mercurial
Reina,Napoli,Spain,1,adidas,predator
Neuer,Bayern Munchen,Germany,1,adidas,predator
Ulreich,Bayern Munchen,Germany,1,adidas,predator
Bürki,Dortmund,Switzerland,1,nike,hipervenom
Leno,Leverkussen,Germany,1,nike,hipervenom
Areola,PSG,France,1,nike,hipervenom
Trapp,PSG,Germany,1,adidas,x
Mandanda,Marseille,France,1,nike,tiempo
Subasic,Monaco,Croatia,1,nike,tiempo
Casillas,Porto,Spain,1,adidas,predator
Rui Patricio,Sporting,Portugal,1,puma,one
Onana,Ajax,Cameroon,1,adidas,predator
Muslera,Galatasaray,Uruguay,1,puma,one
Akinfeev,CSKA,Russia,1,nike,magista
Armani,River Plate,Argentina,1,nike,tiempo
Carvajal,Real Madrid,Spain,2,nike,magista
Sergi Roberto,Barcelona,Spain,2,nike,magista
Juanfran,Atlético Madrid,Spain,2,adidas,x
Vrsaljko,Atlético Madrid,Croatia,2,nike,mercurial
Mercado,Sevilla,Argentina,2,nike,mercurial
Alexander-Arnold,Liverpool,England,2,UA,magnetico
Valencia,Manchester Utd,Ecuador,2,nike,tiempo
Trippier,Tottenham,England,2,nike,mercurial
Walker,Manchester City,England,2,nike,mercurial
Danilo,Manchester City,Brazil,2,nike,mercurial
Lichtsteiner,Juventus,Switzerland,2,puma,one
Florenzi,Roma,Italy,2,nike,tiempo
Kimmich,Bayern Munchen,Germany,2,nike,magista
Piszczek,Dortmund,Poland,2,nike,mercurial
Pavard,Stuttgart,France,2,adidas,x
Alves,PSG,Brazil,2,nike,mercurial
Marcelo,Real Madrid,Brazil,2,adidas,x
Alba,Barcelona,Spain,2,adidas,x
Hernández,Atlético Madrid,France,2,nike,tiempo
Filipe Luis,Atlético Madrid,Brazil,2,adidas,nemeziz
Robertson,Liverpool,Scotland,2,nike,magista
Young,Manchester Utd,England,2,nike,mercurial
Darmian,Manchester Utd,Italy,2,nike,tiempo
Rose,Tottenham,England,2,nike,magista
Mendy,Manchester City,France,2,adidas,predator
Alex Sandro,Juventus,Brazil,2,nike,mercurial
Höwedes,Juventus,Germany,2,adidas,predator
Kolarov,Roma,Serbia,2,nike,mercurial
Alaba,Bayern Munchen,Austria,2,adidas,nemeziz
Guerreiro,Dortmund,Portugal,2,adidas,x
Tagliafico,Ajax,Argentina,2,nike,magista
Alex Telles,Porto,Brazil,2,nike,hipervenom
Ramos,Real Madrid,Spain,3,nike,tiempo
Varane,Real Madrid,France,3,nike,tiempo
Nacho,Real Madrid,Spain,3,adidas,predator
Piqué,Barcelona,Spain,3,nike,tiempo
Mascherano,Barcelona,Argentina,3,nike,magista
Umtiti,Barcelona,France,3,nike,magista
Godín,Atlético Madrid,Uruguay,3,puma,one
Giménez,Atlético Madrid,Uruguay,3,nike,mercurial
Van Dijk,Liverpool,Netherlands,3,nike,tiempo
Lovren,Liverpool,Croatia,3,nike,tiempo
Smalling,Manchester Utd,England,3,nike,tiempo
Blind,Manchester Utd,Netherlands,3,adidas,predator
Cahill,Chelsea,England,3,nike,magista
Alderweireld,Tottenham,Belgium,3,nike,magista
Vertonghen,Tottenham,Belgium,3,nike,tiempo
Otamendi,Manchester City,Argentina,3,nike,magista
Bonucci,Milan,Italy,3,nike,magista
Miranda,Inter,Brazil,3,adidas,predator
Barzagli,Juventus,Italy,3,nike,tiempo
Chiellini,Juventus,Italy,3,puma,one
Benatia,Juventus,Morocco,3,nike,magista
Manolas,Roma,Greece,3,nike,mercurial
Fazio,Roma,Argentina,3,adidas,x
Boateng,Bayern Munchen,Germany,3,nike,tiempo
Hummels,Bayern Munchen,Germany,3,adidas,predator
Süle,Bayern Munchen,Germany,3,nike,tiempo
